slot,condition,endorser_pid,endorser_gender,q1_pair_id,q1_slider_value,q1_is_correct,q1_abs_strength,q2_pair_id,q2_slider_value,q2_is_correct
42,W_correct_weak,65a7027c88eae2b9a68ae596,Woman,identical_woman_woman,51,1,1.0,dominant_man_wins,1,1
43,W_correct_weak,63d5b810f3dbbd11e7e65870,Woman,identical_woman_woman,51,1,1.0,close_woman_wins,98,0
44,W_correct_weak,6473bd2d95a488b826bc24c4,Woman,split_unknowns,51,1,1.0,unknown_man_word,5,0
45,W_correct_weak,65e8ff784cc1b2fc71bc5368,Woman,identical_woman_woman,51,1,1.0,misleading_woman_looks_better,5,0
46,W_correct_weak,66ccca31c45aad520357f3fb,Woman,identical_woman_woman,52,1,2.0,misleading_woman_looks_better,1,0
47,W_correct_weak,652ecb92078fe073ab29b920,Woman,close_woman_wins,48,1,2.0,dominant_man_wins,1,1
48,W_correct_weak,5b81e0a72ce68d0001fa68d5,Woman,close_woman_wins,48,1,2.0,dominant_man_wins,12,1
49,W_incorrect_strong,62d59a066ee263bb659aa445,Woman,misleading_woman_looks_better,0,0,50.0,split_unknowns,91,1
50,W_incorrect_strong,62b628e4351d179f1ff6cc59,Woman,misleading_woman_looks_better,0,0,50.0,unknown_woman_gk,65,0
51,W_incorrect_strong,655f96e689f922fe983fed35,Woman,misleading_woman_looks_better,0,0,50.0,misleading_man_looks_better,13,0
52,W_incorrect_strong,671498899f67df85f33ea053,Woman,misleading_woman_looks_better,0,0,50.0,close_woman_wins,90,0
53,W_incorrect_strong,5c005838232b6c0001221acf,Woman,dominant_man_wins,100,0,50.0,misleading_man_looks_better,83,1
54,W_incorrect_strong,61bb392e40db417c1a138dcb,Woman,misleading_woman_looks_better,0,0,50.0,identical_woman_woman,5,0
55,W_incorrect_strong,66db9db4324609f1a7231f49,Woman,misleading_woman_looks_better,0,0,50.0,dominant_man_wins,1,1
56,W_incorrect_strong,65714a2185b7c4c7ee00ddcd,Woman,misleading_woman_looks_better,0,0,50.0,misleading_man_looks_better,15,0
57,W_incorrect_weak,5e9f3f09ccc75a0c345e4845,Woman,split_unknowns,49,0,1.0,misleading_woman_looks_better,5,0
58,W_incorrect_weak,66e7853b4e311a12f93b5411,Woman,identical_woman_woman,49,0,1.0,dominant_woman_wins,2,1
59,W_incorrect_weak,65cb86a7e667e637599a3af3,Woman,identical_woman_woman,49,0,1.0,dominant_woman_wins,1,1
60,W_incorrect_weak,63d414f95753ac660a9e09e1,Woman,identical_woman_woman,49,0,1.0,dominant_man_wins,16,1
61,W_incorrect_weak,5e05ab290db892fcd8036b1a,Woman,identical_woman_woman,49,0,1.0,misleading_man_looks_better,5,0
62,W_incorrect_weak,61188057fe5a395476806c12,Woman,identical_woman_woman,49,0,1.0,man_vs_man,28,1
63,W_incorrect_weak,63d3f99eac52371a49e65825,Woman,unknown_man_word,48,0,2.0,dominant_woman_wins,6,1
64,W_incorrect_weak,6679dc943f855ba978447c25,Woman,identical_woman_woman,48,0,2.0,dominant_man_wins,8,1
