response_id,prolific_pid,start_date,end_date,duration_s,assigned_condition,endorser_gender,endorser_id,endorser_slider_q1,endorser_slider_q2,display_strength_q1,display_strength_q2,q2_variance_delta,trust_d1,trust_d2,trust_change,abs_change,q1_pair_id,q2_pair_id,q1_category,q2_category,q1_truth,q1_selected,q1_correct,q1_bonus,rt_d1,rt_d2,rt_outcome,gender_cond,accuracy_cond,strength_cond,outcome,cq1_correct,cq2_correct,cq3_correct,cq4_correct,cq5_correct,cq_score,cq_score_qualtrics,cq_perfect,manip_response,manip_correct,manip_missing,participant_gender,age,race,best_participant,changer,female_endorser,success,strong,trust_d1_centered,age_centered
R_1s4qiasQs2wD3gu,660ec4452539f6860b02db7a,2026-03-27T14:07:18Z,2026-03-27T14:12:46Z,327.0,M_correct_strong,Male,670d816961bebcb45b53b929,1.0,1.0,88.0,82.0,-6.0,35.0,50.0,15.0,15.0,dominant_woman_wins,misleading_man_looks_better,Dominant_WomanWins,ObviousFails_ManLooksBetter,A,A,1,0.68,35.106,23.682,17.101,M,correct,strong,Success,1,1,1,1,1,5,5,1,Male,1,0,Male,42.0,White,1,1,0,1,1,-7.6765,-3.3358
R_1Jtq4SkdZXB3rup,5b6d95eb5729b200016a4f2e,2026-03-27T14:03:47Z,2026-03-27T14:13:09Z,561.0,M_correct_weak,Male,665e680164927b18554b66ec,51.0,5.0,12.0,10.0,-2.0,12.0,15.0,3.0,3.0,identical_woman_woman,misleading_woman_looks_better,Identical_WomanWoman_Bwins,ObviousFails_WomanLooksBetter,B,B,1,0.56,39.206,17.213,5.764,M,correct,weak,Success,1,1,1,1,1,5,5,1,,0,1,Female,36.0,White,0,1,0,1,0,-30.6765,-9.3358
R_3IgG3AdbthgybKK,54924b8efdf99b77ccedc1d5,2026-03-27T14:09:55Z,2026-03-27T14:13:59Z,244.0,M_incorrect_weak,Male,5f2f03deec679e2cf4a992e6,46.0,6.0,16.0,10.0,-6.0,0.0,0.0,0.0,0.0,identical_woman_woman,dominant_man_wins,Identical_WomanWoman_Bwins,Dominant_ManWins,B,A,0,0.5,10.785,5.917,5.277,M,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Male,1,0,Male,25.0,Asian,1,0,0,0,0,-42.6765,-20.3358
R_1Bs9OkKkPopHLRp,67178054a368314e6afa5ed4,2026-03-27T14:08:29Z,2026-03-27T14:14:52Z,383.0,M_incorrect_strong,Male,62877d5f6a054e53313ac916,97.0,99.0,85.0,74.0,-11.0,86.0,17.0,-69.0,69.0,man_vs_man,split_unknowns,ManVsMan_Awins,SplitUnknowns_ManWins,A,B,0,0.07,19.792,28.697,21.01,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,,0,1,Male,39.0,White,0,1,0,0,1,43.3235,-6.3358
R_1Uc37dAezdAK2lG,698ce4ba931f89581ecc6d7d,2026-03-27T14:02:14Z,2026-03-27T14:14:53Z,758.0,M_incorrect_weak,Male,5ced8f96a726ed0015d31452,43.0,1.0,21.0,15.0,-6.0,0.0,0.0,0.0,0.0,identical_woman_woman,dominant_man_wins,Identical_WomanWoman_Bwins,Dominant_ManWins,B,A,0,0.5,45.618,7.701,16.626,M,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Male,1,0,Male,30.0,White,1,0,0,0,0,-42.6765,-15.3358
R_6FeQSibniIMVgDg,66c927d7a33aaae937e8686f,2026-03-27T14:12:33Z,2026-03-27T14:16:30Z,236.0,M_incorrect_strong,Male,66231fc6e1ecba676935943a,5.0,1.0,82.0,90.0,8.0,25.0,25.0,0.0,0.0,misleading_woman_looks_better,dominant_woman_wins,ObviousFails_WomanLooksBetter,Dominant_WomanWins,B,A,0,0.38,34.525,14.844,4.038,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Male,1,0,Female,33.0,White,1,0,0,0,1,-17.6765,-12.3358
R_1e2p6Dhg9ccLVe0,6134e3d48d0eaa5c8fe8c25e,2026-03-27T14:12:24Z,2026-03-27T14:17:08Z,284.0,W_incorrect_weak,Female,671165ce01cd9c2699b90dc1,47.0,6.0,15.0,10.0,-5.0,20.0,0.0,-20.0,20.0,identical_woman_woman,misleading_man_looks_better,Identical_WomanWoman_Bwins,ObviousFails_ManLooksBetter,B,A,0,0.4,21.258,4.901,10.366,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,39.0,White,1,1,1,0,0,-22.6765,-6.3358
R_1gRvBtBLMnlf57P,67337b9fcd8ebffe61234019,2026-03-27T14:07:49Z,2026-03-27T14:17:24Z,574.0,M_correct_weak,Male,5d951ede9b6f880018f63b6e,56.0,91.0,20.0,12.0,-8.0,100.0,100.0,0.0,0.0,split_unknowns,close_woman_wins,SplitUnknowns_ManWins,Close_WomanWins,B,B,1,1.0,31.111,10.17,9.446,M,correct,weak,Success,1,1,1,1,1,5,5,1,Male,1,0,Male,34.0,White,1,0,0,1,0,57.3235,-11.3358
R_70YNlaUJgyOK2Y2,63bed6e176fba857a47fbaff,2026-03-27T14:14:32Z,2026-03-27T14:18:25Z,232.0,M_correct_strong,Male,570521cfde5095001018a0c8,7.0,90.0,79.0,90.0,11.0,71.0,37.0,-34.0,34.0,man_vs_man,unknown_woman_gk,ManVsMan_Awins,Unknown_WomanGK_ManWins,A,A,1,0.85,5.8,11.119,5.791,M,correct,strong,Success,1,1,1,1,1,5,5,1,,0,1,Female,63.0,Black,0,1,0,1,1,28.3235,17.6642
R_710CJ6J4ihD3Buz,5a4ff86beedc32000141f232,2026-03-27T14:07:33Z,2026-03-27T14:18:45Z,672.0,W_incorrect_weak,Female,61496cada4d62f06804fa610,45.0,4.0,18.0,30.0,12.0,25.0,100.0,75.0,75.0,identical_woman_woman,dominant_man_wins,Identical_WomanWoman_Bwins,Dominant_ManWins,B,A,0,0.38,53.044,16.622,21.373,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,48.0,White,1,1,1,0,0,-17.6765,2.6642
R_1qxGrebNi127fUn,5e76c87c0fd39b22d52eba04,2026-03-27T14:04:56Z,2026-03-27T14:25:26Z,1230.0,W_incorrect_strong,Female,5d537c0cecc84200153075e9,4.0,4.0,84.0,74.0,-10.0,50.0,25.0,-25.0,25.0,unknown_man_word,misleading_woman_looks_better,Unknown_ManWord_ManWins,ObviousFails_WomanLooksBetter,B,A,0,0.25,42.511,21.613,43.028,W,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,70.0,White,1,1,1,0,1,7.3235,24.6642
R_7wMT9f2wHdwK2wp,671e4b927fa293418ae656d8,2026-03-27T14:20:32Z,2026-03-27T14:26:03Z,331.0,M_incorrect_strong,Male,63ecff07b619306f41db42fa,2.0,1.0,87.0,90.0,3.0,20.0,29.0,9.0,9.0,misleading_man_looks_better,dominant_woman_wins,ObviousFails_ManLooksBetter,Dominant_WomanWins,B,A,0,0.4,26.786,12.19,2.984,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Male,1,0,Female,26.0,White,1,1,0,0,1,-22.6765,-19.3358
R_5B37Zp7Ad0kuxlm,6516d8eb49865c2cea5ff3d8,2026-03-27T14:15:10Z,2026-03-27T14:27:24Z,733.0,M_correct_strong,Male,570521cfde5095001018a0c8,7.0,90.0,79.0,70.0,-9.0,100.0,100.0,0.0,0.0,man_vs_man,unknown_woman_gk,ManVsMan_Awins,Unknown_WomanGK_ManWins,A,A,1,1.0,57.041,49.926,7.058,M,correct,strong,Success,1,1,1,1,1,5,5,1,,0,1,Male,57.0,White,0,0,0,1,1,57.3235,11.6642
R_6NlVTL05TAbGwJb,65524ce2443c9df5aba5960c,2026-03-27T14:20:29Z,2026-03-27T14:30:02Z,572.0,M_correct_strong,Male,5e059d2bb1fb05fd1f841142,5.0,5.0,82.0,90.0,8.0,75.0,75.0,0.0,0.0,dominant_man_wins,misleading_woman_looks_better,Dominant_ManWins,ObviousFails_WomanLooksBetter,A,A,1,0.88,60.5,14.099,9.806,M,correct,strong,Success,1,1,1,1,1,5,5,1,Male,1,0,Female,61.0,White,1,0,0,1,1,32.3235,15.6642
R_6cYhb7ScGmdhMMF,63bf3247bf3b5ebd734157ee,2026-03-27T14:24:03Z,2026-03-27T14:38:04Z,841.0,M_correct_strong,Male,59e7477e3e4b5a00016aa4d2,4.0,1.0,84.0,74.0,-10.0,25.0,15.0,-10.0,10.0,man_vs_man,split_unknowns,ManVsMan_Awins,SplitUnknowns_ManWins,A,A,1,0.63,37.342,22.006,8.417,M,correct,strong,Success,1,1,1,1,1,5,5,1,Male,1,0,Female,65.0,White,1,1,0,1,1,-17.6765,19.6642
R_6MaLuQhRRMVRtfD,5cd3ff1ac99584000199dd15,2026-03-27T14:43:37Z,2026-03-27T14:51:44Z,487.0,M_correct_weak,Male,6750f7eb7c60e2b2c22aeaea,57.0,5.0,21.0,29.0,8.0,100.0,100.0,0.0,0.0,split_unknowns,misleading_woman_looks_better,SplitUnknowns_ManWins,ObviousFails_WomanLooksBetter,B,B,1,1.0,118.129,10.779,13.445,M,correct,weak,Success,1,1,1,1,1,5,5,1,Male,1,0,Male,40.0,White,1,0,0,1,0,57.3235,-5.3358
R_3YWAJXsbot1q718,66315c9e47e364728e8a838c,2026-03-27T14:47:39Z,2026-03-27T14:53:50Z,371.0,W_correct_weak,Female,652ecb92078fe073ab29b920,54.0,1.0,16.0,11.0,-5.0,75.0,47.0,-28.0,28.0,identical_woman_woman,dominant_man_wins,Identical_WomanWoman_Bwins,Dominant_ManWins,B,B,1,0.88,19.701,10.566,9.659,W,correct,weak,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,46.0,Asian,1,1,1,1,0,32.3235,0.6642
R_3M0XKQCzz5R7DtE,5c1199258b095d00015cf0ec,2026-03-27T15:03:54Z,2026-03-27T15:12:53Z,538.0,W_incorrect_weak,Female,5e9f3f09ccc75a0c345e4845,49.0,5.0,12.0,10.0,-2.0,0.0,10.0,10.0,10.0,split_unknowns,misleading_woman_looks_better,SplitUnknowns_ManWins,ObviousFails_WomanLooksBetter,B,A,0,0.5,33.784,25.173,13.1,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Female,1,0,Male,70.0,White,1,1,1,0,0,-42.6765,24.6642
R_6uiKxv0wDVkIGqt,559e6830fdf99b4f0b98514a,2026-03-27T15:09:28Z,2026-03-27T15:17:16Z,467.0,M_correct_strong,Male,670d816961bebcb45b53b929,1.0,1.0,88.0,80.0,-8.0,100.0,0.0,-100.0,100.0,dominant_woman_wins,misleading_man_looks_better,Dominant_WomanWins,ObviousFails_ManLooksBetter,A,A,1,1.0,13.525,19.03,8.626,M,correct,strong,Success,1,1,1,1,1,5,5,1,Female,0,0,Female,50.0,White,0,1,0,1,1,57.3235,4.6642
R_7HU1hFZWuuoFEKx,6307bee7b345c1bf0fb2f362,2026-03-27T14:58:28Z,2026-03-27T15:17:48Z,1159.0,W_correct_strong,Female,61033627c32742424aeaaac1,3.0,3.0,85.0,90.0,5.0,89.0,25.0,-64.0,64.0,dominant_woman_wins,misleading_woman_looks_better,Dominant_WomanWins,ObviousFails_WomanLooksBetter,A,A,1,0.95,31.504,31.413,11.489,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Male,57.0,White,1,1,1,1,1,46.3235,11.6642
R_7aDq39yWDGp6jFd,60cc67809f92d570ba4dc2c5,2026-03-27T15:18:09Z,2026-03-27T15:21:22Z,193.0,W_incorrect_weak,Female,558b20eefdf99b7dfdbac3c9,43.0,76.0,21.0,32.0,11.0,74.0,50.0,-24.0,24.0,misleading_woman_looks_better,unknown_woman_gk,ObviousFails_WomanLooksBetter,Unknown_WomanGK_ManWins,B,A,0,0.13,14.079,8.338,2.88,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,,0,1,Non-binary,43.0,White,0,1,1,0,0,31.3235,-2.3358
R_6pa2cAoOdOrPZS7,600319e3a3b1a337cab57a3e,2026-03-27T15:14:35Z,2026-03-27T15:22:22Z,467.0,M_incorrect_weak,Male,673b834c1ca9feb154a86523,47.0,89.0,15.0,10.0,-5.0,25.0,0.0,-25.0,25.0,split_unknowns,dominant_woman_wins,SplitUnknowns_ManWins,Dominant_WomanWins,B,A,0,0.38,34.348,34.529,11.412,M,incorrect,weak,Failure,1,1,1,1,1,5,5,1,,0,1,Female,66.0,White,0,1,0,0,0,-17.6765,20.6642
R_6WQ8qI6pLm6Aum5,65ca888e3ff4c0ca5294bccf,2026-03-27T15:32:05Z,2026-03-27T15:38:53Z,408.0,W_incorrect_weak,Female,63d5b810f3dbbd11e7e65870,48.0,98.0,13.0,22.0,9.0,15.0,10.0,-5.0,5.0,misleading_woman_looks_better,close_woman_wins,ObviousFails_WomanLooksBetter,Close_WomanWins,B,A,0,0.42,17.04,11.073,6.181,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Female,1,0,Male,40.0,Asian,1,1,1,0,0,-27.6765,-5.3358
R_1rw36XQ3TMp6IBr,611e6cebefce9efe7cef106e,2026-03-27T15:53:37Z,2026-03-27T16:03:49Z,612.0,M_incorrect_weak,Male,5f2f03deec679e2cf4a992e6,46.0,6.0,16.0,10.0,-6.0,10.0,5.0,-5.0,5.0,identical_woman_woman,dominant_man_wins,Identical_WomanWoman_Bwins,Dominant_ManWins,B,A,0,0.45,28.119,19.264,15.291,M,incorrect,weak,Failure,1,1,1,1,1,5,5,1,,0,1,Female,67.0,White,0,1,0,0,0,-32.6765,21.6642
R_5VALogLKnsCBeAF,600db78b56935a5dd8c759b3,2026-03-27T16:03:58Z,2026-03-27T16:13:19Z,561.0,W_correct_strong,Female,6679dc943f855ba978447c25,8.0,89.0,77.0,83.0,6.0,100.0,100.0,0.0,0.0,dominant_man_wins,close_woman_wins,Dominant_ManWins,Close_WomanWins,A,A,1,1.0,17.998,4.131,3.427,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,39.0,White,1,0,1,1,1,57.3235,-6.3358
R_7Ets7p4ekQtXyUY,6007a7996fbeef04ce080f90,2026-03-27T16:18:53Z,2026-03-27T16:23:48Z,295.0,W_incorrect_weak,Female,65bf99712dfa1f05ee0333c8,46.0,2.0,16.0,10.0,-6.0,50.0,75.0,25.0,25.0,identical_woman_woman,dominant_woman_wins,Identical_WomanWoman_Bwins,Dominant_WomanWins,B,A,0,0.25,32.619,22.052,34.249,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,68.0,White,1,1,1,0,0,7.3235,22.6642
R_6IiVB6PwZpYM8Mw,60b96835d5cbb2261c7fd22c,2026-03-27T16:10:39Z,2026-03-27T16:28:52Z,1092.0,W_incorrect_strong,Female,5fab34d5e971f1617667232e,94.0,1.0,80.0,73.0,-7.0,39.0,15.0,-24.0,24.0,unknown_woman_gk,dominant_woman_wins,Unknown_WomanGK_ManWins,Dominant_WomanWins,A,B,0,0.3,55.012,24.843,14.272,W,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,50.0,White,1,1,1,0,1,-3.6765,4.6642
R_1op5qXx2nu5wjkt,58adfc6e7cf56d0001f931a2,2026-03-27T16:26:21Z,2026-03-27T16:49:23Z,1381.0,M_incorrect_strong,Male,6675f3ac3a5d0633257190c4,1.0,86.0,88.0,90.0,2.0,72.0,76.0,4.0,4.0,misleading_woman_looks_better,man_vs_man,ObviousFails_WomanLooksBetter,ManVsMan_Awins,B,A,0,0.14,9.688,3.927,4.391,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,,0,1,Male,28.0,Black,0,1,0,0,1,29.3235,-17.3358
R_3P8OfcdpldOEmSB,67d6838d9d907f59aef03ac5,2026-03-27T16:34:34Z,2026-03-27T16:52:51Z,1097.0,W_incorrect_strong,Female,5e05ab290db892fcd8036b1a,5.0,65.0,82.0,72.0,-10.0,100.0,100.0,0.0,0.0,misleading_man_looks_better,unknown_woman_gk,ObviousFails_ManLooksBetter,Unknown_WomanGK_ManWins,B,A,0,0.0,21.685,7.593,7.102,W,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,78.0,Black,1,0,1,0,1,57.3235,32.6642
R_5isbTgLO5cqIVzb,5ec9a4744e028f4bdf31d089,2026-03-27T17:23:34Z,2026-03-27T17:29:41Z,366.0,W_correct_weak,Female,66ccca31c45aad520357f3fb,52.0,1.0,13.0,10.0,-3.0,0.0,0.0,0.0,0.0,identical_woman_woman,misleading_woman_looks_better,Identical_WomanWoman_Bwins,ObviousFails_WomanLooksBetter,B,B,1,0.5,21.881,9.259,8.721,W,correct,weak,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,27.0,Asian,1,0,1,1,0,-42.6765,-18.3358
R_3IQ4eqTDyBiTfNs,5c926d2a0ae1ea00156f71a0,2026-03-27T18:04:02Z,2026-03-27T18:10:44Z,402.0,M_incorrect_weak,Male,5f2f03deec679e2cf4a992e6,46.0,6.0,16.0,24.0,8.0,50.0,0.0,-50.0,50.0,identical_woman_woman,dominant_man_wins,Identical_WomanWoman_Bwins,Dominant_ManWins,B,A,0,0.25,52.878,7.301,8.116,M,incorrect,weak,Failure,1,1,1,1,1,5,5,1,,0,1,Female,67.0,White,0,1,0,0,0,7.3235,21.6642
R_6k1i380u3EmzIas,61501967e49a3d7e1977e4b4,2026-03-27T18:02:14Z,2026-03-27T18:11:12Z,538.0,W_correct_strong,Female,61033627c32742424aeaaac1,3.0,3.0,85.0,90.0,5.0,75.0,85.0,10.0,10.0,dominant_woman_wins,misleading_woman_looks_better,Dominant_WomanWins,ObviousFails_WomanLooksBetter,A,A,1,0.88,78.214,34.55,17.974,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,78.0,White,1,1,1,1,1,32.3235,32.6642
R_3iiwrYMUJr8gOc1,58470fb4f063d30001161e55,2026-03-27T18:32:14Z,2026-03-27T18:37:55Z,340.0,W_incorrect_weak,Female,63d5b810f3dbbd11e7e65870,48.0,98.0,13.0,10.0,-3.0,10.0,0.0,-10.0,10.0,misleading_woman_looks_better,close_woman_wins,ObviousFails_WomanLooksBetter,Close_WomanWins,B,A,0,0.45,23.968,11.132,14.864,W,incorrect,weak,Failure,1,1,1,1,1,5,5,1,Female,1,0,Female,50.0,White,1,1,1,0,0,-32.6765,4.6642
R_70GztDGEq32ZQjr,5d75a081a54634000157ab92,2026-03-27T18:35:55Z,2026-03-27T18:41:11Z,316.0,W_correct_strong,Female,67ddbba0fa5e1ce984f9fb87,1.0,93.0,88.0,81.0,-7.0,75.0,50.0,-25.0,25.0,dominant_woman_wins,dominant_man_wins,Dominant_WomanWins,Dominant_ManWins,A,A,1,0.88,37.158,15.048,6.54,W,correct,strong,Success,1,1,1,1,1,5,5,1,Female,1,0,Female,72.0,White,1,1,1,1,1,32.3235,26.6642
R_6fa4A2mZMZesMkH,6941dcdd60e47496c3097b02,2026-03-27T18:49:48Z,2026-03-27T18:54:21Z,272.0,M_correct_strong,Male,6596d692ac956830b68776e0,8.0,6.0,77.0,84.0,7.0,0.0,20.0,20.0,20.0,dominant_man_wins,misleading_woman_looks_better,Dominant_ManWins,ObviousFails_WomanLooksBetter,A,A,1,0.5,22.497,25.651,11.191,M,correct,strong,Success,1,1,1,1,1,5,5,1,Male,1,0,Male,49.0,White,1,1,0,1,1,-42.6765,3.6642
R_7YP83VlgNkIAXsY,5ccf2abd37095c001a78cef6,2026-03-27T18:58:09Z,2026-03-27T19:05:44Z,455.0,M_incorrect_strong,Male,63ecff07b619306f41db42fa,2.0,1.0,87.0,79.0,-8.0,100.0,100.0,0.0,0.0,misleading_man_looks_better,dominant_woman_wins,ObviousFails_ManLooksBetter,Dominant_WomanWins,B,A,0,0.0,17.604,6.744,6.536,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Male,1,0,Female,25.0,Asian,1,0,0,0,1,57.3235,-20.3358
R_6FgaEqYKcsgVlv3,6449103e84f82d613e8d6d73,2026-03-27T19:06:40Z,2026-03-27T19:12:50Z,370.0,M_incorrect_strong,Male,63ecff07b619306f41db42fa,2.0,1.0,87.0,79.0,-8.0,10.0,5.0,-5.0,5.0,misleading_man_looks_better,dominant_woman_wins,ObviousFails_ManLooksBetter,Dominant_WomanWins,B,A,0,0.45,24.233,9.399,6.409,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,Female,0,0,Female,54.0,White,0,1,0,0,1,-32.6765,8.6642
R_5No2WiPCfam6m6l,5f902184d7badd065adb604b,2026-03-27T19:10:42Z,2026-03-27T19:15:36Z,293.0,M_incorrect_strong,Male,631c8e97db06f601f81bd82f,8.0,2.0,77.0,68.0,-9.0,66.0,25.0,-41.0,41.0,misleading_man_looks_better,dominant_man_wins,ObviousFails_ManLooksBetter,Dominant_ManWins,B,A,0,0.17,16.431,10.823,8.364,M,incorrect,strong,Failure,1,1,1,1,1,5,5,1,,0,1,Male,44.0,White,0,1,0,0,1,23.3235,-1.3358
R_66Al8LWHxfX3mUN,5e64a02eb7d70b20f250b129,2026-03-27T19:16:17Z,2026-03-27T19:31:27Z,909.0,M_correct_strong,Male,6596d692ac956830b68776e0,8.0,6.0,77.0,69.0,-8.0,51.0,50.0,-1.0,1.0,dominant_man_wins,misleading_woman_looks_better,Dominant_ManWins,ObviousFails_WomanLooksBetter,A,A,1,0.76,58.214,30.504,13.742,M,correct,strong,Success,1,1,1,1,1,5,5,1,Female,0,0,Female,67.0,White,0,1,0,1,1,8.3235,21.6642
