response_id,prolific_pid,condition,endorser_gender,outcome,strength_condition,endorser_slider_q1,endorser_slider_q2,abs_strength,trust_d1,trust_d2,trust_change,is_correct,bonus,rt_d1,rt_outcome,rt_d2,duration_s,cq_score,age,gender,race,manip_check_q44,manip_correct
R_10pkVCW8wzyMNJg,63469e0a9552017beb3cfb82,W_correct_strong,Female,Success,strong,0.0,4.0,100.0,35.0,64.0,29.0,1,0.68,14822,3985,4301,222,3,43,2,5,2,1
R_1zJ6f7MtiArMPtf,664fc88e589ceacc92930e9d,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,9.0,66.0,57.0,1,0.55,9770,10397,4289,198,3,36,1,5,2,0
R_5hBlPet64WKSlGx,66045663fbc92e11eb7e557c,W_correct_weak,Female,Success,weak,52.0,1.0,4.0,20.0,40.0,20.0,1,0.60,26213,6509,10852,266,3,52,1,5,2,1
R_7Gwcc4fwm9IEy05,663e3c2870a87bac315ac450,W_correct_weak,Female,Success,weak,51.0,13.0,2.0,10.0,20.0,10.0,1,0.55,11926,3991,6577,184,3,29,1,5,2,1
R_7OfzJGFqX1HVqkp,5e29cc3230cf9d03580c34bf,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,0.0,25.0,25.0,1,0.50,13119,7204,8719,244,4,36,2,5,1,1
R_3rz8iyCV7ZMvkn7,57439a4354636a000d78639a,W_correct_strong,Female,Success,strong,0.0,21.0,100.0,100.0,100.0,0.0,1,1.00,14804,4901,8959,302,3,37,1,5,2,1
R_7lzePMel62BpZ6o,62ed458d61ebd1930833e95a,W_correct_weak,Female,Success,weak,51.0,13.0,2.0,0.0,0.0,0.0,1,0.50,15359,15141,16662,281,3,62,2,5,2,1
R_79mq3PZfBllcrrB,651eea44194fa8c200606af7,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,60.0,100.0,40.0,0,0.20,26398,6237,7511,336,3,77,2,5,1,1
R_6a9SRvf9obEMUyg,676c71be2368330a2c25505b,M_incorrect_weak,Male,Failure,weak,49.0,5.0,2.0,5.0,10.0,5.0,0,0.47,22573,7166,17288,306,3,48,1,5,1,1
R_7uQVTFJdcunybRh,55132578fdf99b1b0568bdb8,W_incorrect_weak,Female,Failure,weak,49.0,1.0,2.0,0.0,0.0,0.0,0,0.50,41943,3319,4845,405,3,36,1,5,2,1
R_33e8s4CmcBB8Ues,60a9b8f7b9748b9999090dd8,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,0.0,100.0,100.0,1,0.50,27602,5485,3320,217,4,23,2,5,1,1
R_52JBPOyY4teYhkq,65b549c67c7791499c09f8a2,M_incorrect_weak,Male,Failure,weak,49.0,2.0,2.0,30.0,0.0,-30.0,0,0.35,27016,11335,10940,298,4,47,1,5,1,1
R_5FPYhZ5wEqGpXfK,5c309bb410677f0001dda0ed,M_correct_strong,Male,Success,strong,0.0,15.0,100.0,100.0,100.0,0.0,1,1.00,27691,10088,10686,412,4,45,2,5,1,1
R_6OeKSq5CXSbzRFT,6839b6137cc1aa27ad7b85b7,M_correct_strong,Male,Success,strong,0.0,0.0,100.0,100.0,48.0,-52.0,1,1.00,18045,8351,18809,345,3,38,1,5,2,0
R_1Kr9n00dxYLj3cQ,66465c850d9a3e177f2649fa,M_correct_weak,Male,Success,weak,51.0,2.0,2.0,0.0,50.0,50.0,1,0.50,24165,3989,7264,427,4,35,2,5,1,1
R_1Kx6smZbve2HHdG,66b929d1d8f3bcf3b1929bc5,M_correct_weak,Male,Success,weak,51.0,4.0,2.0,10.0,23.0,13.0,1,0.55,27981,9055,27469,308,4,59,1,5,1,1
R_64ngpjK9typbkeB,6312d110fc7b2e75f0e609a7,W_correct_weak,Female,Success,weak,48.0,1.0,4.0,0.0,25.0,25.0,1,0.50,14351,2525,8123,442,4,31,2,5,2,1
R_173epAxRdHfvzQi,67bf2c95cf70e4409f3fb705,M_correct_weak,Male,Success,weak,51.0,0.0,2.0,20.0,100.0,80.0,1,0.60,21589,6616,19478,252,4,53,2,2,,0
R_1ToWkttVRUV1PGc,5e8a1827052175000938eb91,W_correct_strong,Female,Success,strong,0.0,4.0,100.0,90.0,70.0,-20.0,1,0.95,15026,5313,5148,393,3,27,2,5,2,1
R_6D7xBE5tI7MtH2h,6978bda2039ef7c2454998b0,M_incorrect_strong,Male,Failure,strong,0.0,85.0,100.0,85.0,70.0,-15.0,0,0.08,15375,4279,5709,374,3,38,1,5,2,0
R_77XY3xD6fULrEWd,62d0880f5ba6d972d1bfc63c,W_incorrect_weak,Female,Failure,weak,49.0,16.0,2.0,0.0,50.0,50.0,0,0.50,23189,5898,29206,326,3,73,1,5,2,1
R_1oAWxjONFRPwtDL,5d093f05c79e5a0016796b18,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,100.0,0.0,-100.0,0,0.00,23740,4708,6201,384,4,37,2,5,,0
R_1oRycWKI3NyDYdq,69600b316c2b185f72a46b1a,M_correct_strong,Male,Success,strong,0.0,15.0,100.0,75.0,75.0,0.0,1,0.88,21673,5433,10448,356,3,47,1,5,2,0
R_769Zi3iYK8Q8kIe,6518353efd6c167905451597,M_incorrect_strong,Male,Failure,strong,0.0,20.0,100.0,50.0,0.0,-50.0,0,0.25,34841,5479,9726,305,3,49,1,5,,0
R_1dhn38Yuz5jVB1Q,676ca3da9773676ad989ef10,M_correct_strong,Male,Success,strong,100.0,5.0,100.0,100.0,100.0,0.0,1,1.00,20664,8516,13896,313,3,56,2,5,1,1
R_1lflhHqRbn5rrSV,63ff4f5e1f21cd78901be3aa,W_incorrect_weak,Female,Failure,weak,49.0,2.0,2.0,50.0,100.0,50.0,0,0.25,14272,4488,21128,308,3,56,2,1,1,0
R_1ckg4WlNtOte2xA,695bbdf21fd961458dd7390f,W_incorrect_strong,Female,Failure,strong,0.0,15.0,100.0,100.0,73.0,-27.0,0,0.00,16704,3594,4907,369,4,42,2,2,2,1
R_5TWPdhRdkFF7tpz,681905e0de5d99795e2ecab4,W_incorrect_strong,Female,Failure,strong,0.0,65.0,100.0,74.0,75.0,1.0,0,0.13,21812,8691,10202,392,4,64,2,5,1,0
R_7mUc1pVis20IxGb,6733983217b9e8aaa7b1732d,M_incorrect_strong,Male,Failure,strong,100.0,82.0,100.0,60.0,20.0,-40.0,0,0.20,39506,28642,31494,473,4,58,2,5,,0
R_32R92ZCGCNNJO9R,644e70a29cba8cc79d738a7a,W_incorrect_weak,Female,Failure,weak,49.0,28.0,2.0,25.0,40.0,15.0,0,0.38,58433,21307,44715,590,4,59,2,5,2,1
R_3phbZM9vBp5w8q1,659d55d8b74f3f97ea13d63e,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,20.0,0.0,-20.0,0,0.40,12753,4186,11365,308,3,29,1,5,2,1
R_7bNKotsPlRyFnxz,63e63f77c742a91baf498dd0,W_correct_strong,Female,Success,strong,0.0,21.0,100.0,71.0,50.0,-21.0,1,0.85,10179,6385,7460,417,3,37,1,5,2,1
R_75sfgu06RuuAbYm,60ef2700e476748689a999f7,W_correct_weak,Female,Success,weak,48.0,1.0,4.0,0.0,0.0,0.0,1,0.50,9141,4392,5551,663,3,34,1,5,2,1
R_1q2C4ZJpntDbyPK,5e87b4d3e28032100ce68eec,W_incorrect_weak,Female,Failure,weak,48.0,6.0,4.0,15.0,10.0,-5.0,0,0.42,51339,13680,46107,613,3,58,2,5,1,0
R_1yQMdB1DN8GCb4Z,5bddd64b48428800013061a6,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,10.0,6.0,-4.0,1,0.55,,,,479,4,44,2,3,1,1
R_5USkuMTPMKiDPpf,67676c64636d1669c5790324,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,100.0,100.0,0.0,1,1.00,47652,5935,12270,868,4,53,1,2,2,0
R_1JQRBFpyDzKM0RG,62d61912c1eab298bdc2c642,M_incorrect_strong,Male,Failure,strong,0.0,86.0,100.0,100.0,100.0,0.0,0,0.00,13612,5341,4616,277,3,37,2,5,1,1
R_1KCvWorff2eRjEw,69416d667e7aeafc5bf0f83e,M_correct_weak,Male,Success,weak,51.0,4.0,2.0,0.0,0.0,0.0,1,0.50,8747,6966,7915,510,3,32,2,2,1,1
R_1QYvzTDCqctMoy5,56279953ddff3c0005bcdba9,M_correct_strong,Male,Success,strong,0.0,0.0,100.0,50.0,72.0,22.0,1,0.75,29020,5616,13608,515,3,39,1,5,1,1
R_11YMjusrj3VqTHI,655f95e3f23f40d0d9613730,M_incorrect_strong,Male,Failure,strong,100.0,82.0,100.0,25.0,20.0,-5.0,0,0.38,35112,17090,30149,682,4,38,1,3,1,1
R_1TLUDQfG0jBIu1D,6778675e8b4e6341cf2de2a1,W_correct_weak,Female,Success,weak,51.0,13.0,2.0,25.0,0.0,-25.0,1,0.63,16540,6233,9148,198,3,46,2,5,1,0
R_7HIoNhwrZH6CQhj,69694b768ee3e560544826a7,M_incorrect_weak,Male,Failure,weak,48.0,6.0,4.0,0.0,20.0,20.0,0,0.50,15767,6318,12428,264,4,38,2,5,,0
R_7LcWVGraKIRd22B,5c43517c8fefb60001c447fe,W_incorrect_strong,Female,Failure,strong,0.0,90.0,100.0,100.0,100.0,0.0,0,0.00,16625,4661,5476,254,3,41,3,5,,0
R_6sn3AdP20v9Pcks,58a43e029a17120001d910d5,M_correct_weak,Male,Success,weak,51.0,5.0,2.0,20.0,0.0,-20.0,1,0.60,26540,10203,7500,322,4,43,1,5,,0
R_5Mni9EM44E4Htgx,671e3bfd39d6c9c60589ebec,W_correct_weak,Female,Success,weak,51.0,13.0,2.0,0.0,0.0,0.0,1,0.50,16719,5711,4942,204,3,47,1,5,2,1
R_74dbA9HOTIAkeVZ,5ccb779b2c4e1f00159333ea,M_incorrect_strong,Male,Failure,strong,0.0,20.0,100.0,21.0,61.0,40.0,0,0.40,19334,3635,14629,281,3,57,2,5,1,1
R_5EgIVjAHduUrVwx,63dac3039dddeaa909a790fb,W_incorrect_weak,Female,Failure,weak,49.0,16.0,2.0,0.0,0.0,0.0,0,0.50,16357,10400,27422,267,4,41,1,5,2,1
R_3KgbmR3xUmK60HM,565c6791c121fe0012fc3caf,W_correct_weak,Female,Success,weak,51.0,98.0,2.0,5.0,20.0,15.0,1,0.53,23010,5593,16300,291,3,39,1,5,2,1
R_11bY88QBCiooZhK,698c919d505ef1862de8b8e9,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,1.0,10.0,9.0,1,0.51,28979,4332,10334,274,4,28,1,2,1,1
R_52BtWxbyneQI5vr,67a7f30d7c432b5b7486ece5,M_incorrect_strong,Male,Failure,strong,0.0,7.0,100.0,100.0,100.0,0.0,0,0.00,12856,10276,10786,324,3,48,2,5,1,1
R_1FcrCgwAGTkJjIB,67e80fd6ef19882569cf49d3,W_incorrect_strong,Female,Failure,strong,0.0,15.0,100.0,10.0,30.0,20.0,0,0.45,24096,5564,13775,314,3,52,1,5,2,1
R_5DD10FZ3bfW0M08,623a5bb1b15d26b9c926a90b,M_incorrect_weak,Male,Failure,weak,49.0,21.0,2.0,10.0,20.0,10.0,0,0.45,22048,8280,21054,268,4,50,1,5,,0
R_1wNya10w1ITikog,60dfd857e293a99dd577f4c8,M_incorrect_strong,Male,Failure,strong,0.0,81.0,100.0,85.0,74.0,-11.0,0,0.08,41189,10890,12848,387,4,68,1,5,,0
R_3QmnJ31mOvRfiJq,6637b21240220c2517fffa1a,M_incorrect_weak,Male,Failure,weak,49.0,2.0,2.0,0.0,50.0,50.0,0,0.50,27722,20323,43904,378,4,62,1,5,2,0
R_5qfZqgeNHbJ5DXz,62853fe01fa0d21c4daacfcb,W_incorrect_strong,Female,Failure,strong,0.0,5.0,100.0,10.0,10.0,0.0,0,0.45,31697,12459,21563,420,4,29,2,3,2,1
R_5Gp5OmyUngnESfD,5591cd21fdf99b63126f6c60,M_correct_weak,Male,Success,weak,51.0,0.0,2.0,0.0,0.0,0.0,1,0.50,17216,6997,3684,269,4,35,2,5,,0
R_6DTwX8ZxQaBUi8j,663d535a03d331ab18ff1a83,M_incorrect_strong,Male,Failure,strong,0.0,20.0,100.0,50.0,35.0,-15.0,0,0.25,54602,8212,23871,455,3,60,1,5,1,1
R_5f9XqwdryZ1jcrt,6632404d369dbb28fc6bf5d5,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,75.0,0.0,-75.0,0,0.13,32091,18298,16453,470,4,58,1,5,1,1
R_1E557yLgpb8PZd7,66c26b01a3d551a7d8bd342c,W_correct_strong,Female,Success,strong,0.0,8.0,100.0,50.0,0.0,-50.0,1,0.75,27365,8262,12477,330,4,60,2,5,2,1
R_1JECd248oMm7Gxb,5dd438b65a40f24302c09c2d,M_correct_strong,Male,Success,strong,100.0,5.0,100.0,20.0,30.0,10.0,1,0.60,19741,8907,14834,261,4,59,2,5,1,1
R_1ctXHut19kjgcLf,572041d6fd3a5200093c1295,M_correct_strong,Male,Success,strong,0.0,75.0,100.0,100.0,55.0,-45.0,1,1.00,6066,6382,11415,232,3,43,1,5,,0
R_6CgunylgtAvS1LM,66273c7b117b279579901901,W_incorrect_weak,Female,Failure,weak,49.0,2.0,2.0,7.0,25.0,18.0,0,0.46,52204,8936,32756,528,3,57,1,5,2,1
R_13m12TiMoOr4M6a,66e0585aeee549c122da5983,M_correct_strong,Male,Success,strong,0.0,5.0,100.0,50.0,100.0,50.0,1,0.75,54503,18727,15694,500,3,57,1,5,2,0
R_1IgzdUk5GpLEIvD,5fa2b9a3c1d67f3a311db672,M_correct_weak,Male,Success,weak,49.0,75.0,2.0,0.0,10.0,10.0,1,0.50,15356,2586,12598,340,4,28,1,5,,0
R_6nW4LmYpqwptlfq,63d59b52111ca1095779494b,W_incorrect_strong,Female,Failure,strong,0.0,90.0,100.0,66.0,67.0,1.0,0,0.17,5978,2939,5115,119,3,36,1,5,2,1
R_75Hi6IjPyfLLYcm,5c7cf8b58ca9000001b52f6e,W_correct_weak,Female,Success,weak,51.0,5.0,2.0,0.0,0.0,0.0,1,0.50,21966,17410,18541,264,3,34,2,5,2,1
R_14IqoXTOPeF2ziT,558d8d71fdf99b534f79b352,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,0.0,70.0,70.0,1,0.50,46710,8383,25175,457,4,38,2,5,1,1
R_5KNlYwLy1OkFF85,6287d1278f5285de4c237d50,W_incorrect_weak,Female,Failure,weak,49.0,16.0,2.0,0.0,0.0,0.0,0,0.50,17320,8189,5805,281,4,35,2,5,2,1
R_5qjGumehqKEUuiK,66857cc20736230620552dbc,M_incorrect_weak,Male,Failure,weak,48.0,5.0,4.0,0.0,0.0,0.0,0,0.50,16383,6783,6725,239,3,55,1,5,1,1
R_5G7aUT4pyqdcmnO,5ff082234cfb7df5d6371e99,M_incorrect_strong,Male,Failure,strong,100.0,82.0,100.0,75.0,75.0,0.0,0,0.13,14397,2620,8912,149,3,40,1,5,1,1
R_78zUesofu43IKoO,643ac28192af48c396d97709,M_incorrect_strong,Male,Failure,strong,100.0,1.0,100.0,65.0,25.0,-40.0,0,0.17,37435,3916,9593,385,3,53,3,5,1,1
R_1VQ1m4frWMIV87D,672b875b60b2d97ccdcf1aad,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,50.0,55.0,5.0,0,0.25,49352,10055,54675,627,4,56,1,3,1,1
R_6pEchMZiDzMu0QY,5ea974ce007217052a763022,M_incorrect_weak,Male,Failure,weak,49.0,2.0,2.0,20.0,3.0,-17.0,0,0.40,16181,4687,5168,289,4,39,1,5,1,1
R_1P7BsTGFtWIOkpK,648a1d21a3372cbf1e7a499d,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,50.0,21.0,-29.0,0,0.25,35722,10985,11309,539,4,53,2,5,1,0
R_7oCyHN0OwYrP3Rn,64717245e1df4e34c97cca3f,W_incorrect_weak,Female,Failure,weak,48.0,8.0,4.0,0.0,0.0,0.0,0,0.50,38226,18157,16984,351,3,66,1,5,2,1
R_6DG2j4sOxUyRKJ7,610008383c0a128712403745,M_incorrect_weak,Male,Failure,weak,49.0,2.0,2.0,5.0,10.0,5.0,0,0.47,27248,9896,24031,583,4,47,1,5,1,1
R_1AEbF3u7956U1e3,67125dbf051de48bdd548035,M_correct_weak,Male,Success,weak,51.0,5.0,2.0,5.0,0.0,-5.0,1,0.53,103969,14289,14409,1020,3,58,1,3,,0
R_7DVBP6FPjQODXFf,6733e2060749d3760ec6a01f,W_correct_strong,Female,Success,strong,0.0,21.0,100.0,43.0,94.0,51.0,1,0.71,13701,5911,6589,253,4,30,1,5,2,1
R_1JV2FxrOQxN9Wu5,6657ab37ba8f20890ac0e52d,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,100.0,100.0,0.0,0,0.00,16753,5087,12850,342,3,30,1,2,,0
R_7uO6bvaPZCUjfTo,6632edd68127fba862de05bf,W_correct_weak,Female,Success,weak,52.0,1.0,4.0,50.0,50.0,0.0,1,0.75,23175,6892,5346,298,4,43,2,4,2,1
R_6Y2PgI8Tw6mNNOe,5e04b9be7adf4bf23f066a2a,W_incorrect_strong,Female,Failure,strong,0.0,65.0,100.0,100.0,100.0,0.0,0,0.00,23387,5349,4400,397,4,55,2,5,1,0
R_5dQcL1lrkdTA4Sx,59e7b0ab3e4b5a00016aa559,M_incorrect_weak,Male,Failure,weak,49.0,21.0,2.0,0.0,0.0,0.0,0,0.50,17967,8151,7334,587,4,42,2,5,,0
R_7QJJl0MXhbFehR5,678850e350af39b7032dd102,W_incorrect_strong,Female,Failure,strong,0.0,13.0,100.0,50.0,50.0,0.0,0,0.25,109603,38257,52124,1184,4,43,1,5,,0
R_5lsjXLTQehxc1mu,6664a1634453306b040667c8,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,0.0,50.0,50.0,1,0.50,34194,4058,9740,302,3,59,1,5,1,1
R_5obApaJMew2dVWk,64063ab4e87bbb62274cd0e6,M_incorrect_strong,Male,Failure,strong,0.0,81.0,100.0,100.0,0.0,-100.0,0,0.00,47354,9287,24400,678,4,68,2,5,1,1
R_7PGQjbapiMxiQWR,5ea48ae3461d1044f2d282cc,W_incorrect_weak,Female,Failure,weak,49.0,28.0,2.0,61.0,25.0,-36.0,0,0.20,35568,13957,20226,408,3,61,2,5,1,0
R_7JDqJbCfWyBH9Qt,61015eeeac2c6fae4f3696c6,M_correct_strong,Male,Success,strong,0.0,0.0,100.0,100.0,100.0,0.0,1,1.00,17494,4784,6119,267,4,54,1,5,1,1
R_6wHhNFUT3ICdoD7,5dd1a21340460e2103faf78c,M_incorrect_strong,Male,Failure,strong,100.0,82.0,100.0,72.0,37.0,-35.0,0,0.14,44558,6123,8422,257,4,27,1,5,,0
R_3AJJhFxb5FWC4qB,652014a6230cfe011fd5ec48,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,28.0,52.0,24.0,0,0.36,28953,6261,11714,340,3,39,1,5,2,1
R_3o1stBU4uV4AHHp,5effeb020eddd30dccc8a829,M_correct_weak,Male,Success,weak,49.0,75.0,2.0,25.0,25.0,0.0,1,0.63,24691,9258,18864,352,3,51,1,5,2,0
R_74BLRBnshvrSpfH,568485808f456f00054589f2,W_correct_strong,Female,Success,strong,0.0,8.0,100.0,100.0,100.0,0.0,1,1.00,70284,13489,25293,479,3,67,1,5,2,1
R_1N9Q8bBUZyKsRCQ,660452d6f4aa3a41d687885b,W_correct_weak,Female,Success,weak,51.0,13.0,2.0,10.0,62.0,52.0,1,0.55,28018,12490,13124,235,3,53,1,2,2,1
R_5fJT79oDjWCVLWd,675a5ad39c319c39e7753011,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,100.0,100.0,0.0,0,0.00,10553,2338,3312,171,3,38,2,5,,0
R_1jTmvHiaBvFzLSV,63dc117ead87f37c5b39218b,W_incorrect_weak,Female,Failure,weak,49.0,16.0,2.0,25.0,10.0,-15.0,0,0.38,25342,7389,16887,416,3,60,1,5,2,1
R_1FksYMaAcNCsk7L,63a1ae117fa485cabe593f2a,M_correct_strong,Male,Success,strong,100.0,1.0,100.0,80.0,82.0,2.0,1,0.90,36630,16090,18720,547,4,57,1,4,,0
R_1J5U6n99XAp6hBT,65e32297c34ae3a8c3e3b1c2,W_correct_strong,Female,Success,strong,0.0,21.0,100.0,25.0,25.0,0.0,1,0.63,23374,9912,6151,260,4,44,1,5,2,1
R_1DKUszjjqmE7efL,67164c92298409e37c670b3d,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,5.0,10.0,5.0,0,0.47,18869,2847,8417,1012,4,28,2,2,2,1
R_7v2EZwKK73ksRgt,5cf845e485e94e001789fd44,M_correct_strong,Male,Success,strong,0.0,15.0,100.0,100.0,100.0,0.0,1,1.00,26027,7956,11510,312,4,30,2,5,,0
R_3S7SjaJxQU2R7bi,5ea1ee658a9acd0eff894ae2,W_correct_strong,Female,Success,strong,0.0,4.0,100.0,90.0,95.0,5.0,1,0.95,28083,4612,12811,335,3,32,1,3,2,1
R_3kxNDGwfnGGQNZ7,5f93aff4d654c619d22b94b9,W_incorrect_weak,Female,Failure,weak,48.0,6.0,4.0,0.0,0.0,0.0,0,0.50,19952,10150,14194,280,3,35,2,5,2,1
R_6jIK7ciK2gzhEKT,58f7cdd4c31d4d00015aac83,M_correct_strong,Male,Success,strong,0.0,75.0,100.0,25.0,50.0,25.0,1,0.63,15228,6192,14484,199,4,28,3,2,,0
R_51ibleMlB4LGECZ,65490276dc42961a8e1cdec3,M_incorrect_strong,Male,Failure,strong,0.0,7.0,100.0,50.0,40.0,-10.0,0,0.25,11113,7450,12352,253,4,53,1,5,1,1
R_6ZHMgG1KHLWWKpV,62728884995a1a76605d0214,M_incorrect_weak,Male,Failure,weak,51.0,11.0,2.0,25.0,15.0,-10.0,0,0.38,290301,10389,12241,708,4,47,1,5,,0
R_35vmKDODKWm3IVW,6653ae434d386b6218f51efb,M_correct_strong,Male,Success,strong,0.0,99.0,100.0,20.0,10.0,-10.0,1,0.60,61235,16410,25329,456,4,76,1,5,1,1
R_5MMKARawHF7PbtT,63c5c3192e709e19fc67d5dd,M_incorrect_strong,Male,Failure,strong,0.0,7.0,100.0,0.0,0.0,0.0,0,0.50,17599,4591,8390,439,3,62,2,1,1,1
R_61smFdQYVjt3ebR,67d1fae33c97d8df89998bd9,M_correct_weak,Male,Success,weak,51.0,2.0,2.0,60.0,72.0,12.0,1,0.80,25956,29230,19678,454,3,29,1,3,2,0
R_5gUDPzDWLxPK9up,5c3c1617f5ebd500018596cb,M_incorrect_weak,Male,Failure,weak,51.0,11.0,2.0,0.0,0.0,0.0,0,0.50,31458,11233,4546,255,4,39,2,5,1,1
R_11aAgwdUrmBZvFv,65e231b58b6f797b593b61d3,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,50.0,50.0,0.0,1,0.75,96891,13798,14981,605,3,41,1,2,2,0
R_3itnalD380lY84Y,65390c1abdfe1fd0b200ac11,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,6.0,0.0,-6.0,0,0.47,18800,4581,5431,240,3,27,1,5,2,1
R_3zEaxzHCBe7qf0R,69432f5eec27bf29567095f7,M_correct_strong,Male,Success,strong,0.0,1.0,100.0,100.0,0.0,-100.0,1,1.00,36110,5553,14986,961,3,28,2,5,1,1
R_1BsMo8ZUAZQQmWJ,664cce8aecc59dc14d41c397,M_incorrect_strong,Male,Failure,strong,0.0,5.0,100.0,50.0,50.0,0.0,0,0.25,15261,5674,9070,313,4,26,2,5,1,1
R_6aauC9gjSqsz0IY,6953fb7c9df1b32aa5503057,M_correct_weak,Male,Success,weak,49.0,75.0,2.0,5.0,10.0,5.0,1,0.53,22045,4129,9843,339,3,37,2,5,,0
R_6GDme0xW5w86Vtc,5b9eddfed259900001106b05,W_incorrect_strong,Female,Failure,strong,0.0,91.0,100.0,50.0,100.0,50.0,0,0.25,43674,3067,4181,252,4,40,2,5,2,1
R_7jlU965vLWfj4VD,5e6ca4b9a2b73d25c187ae61,M_incorrect_strong,Male,Failure,strong,100.0,82.0,100.0,60.0,29.0,-31.0,0,0.20,104731,8672,5753,781,4,42,2,5,1,1
R_5uIBjRAOmuTGgDC,6609eee271e2fa6407181949,M_incorrect_weak,Male,Failure,weak,48.0,6.0,4.0,25.0,0.0,-25.0,0,0.38,94003,19545,34846,420,4,62,1,5,1,1
R_1Q9xm7RXQLx4Ku5,5a381de00006450001bf2691,M_incorrect_weak,Male,Failure,weak,48.0,5.0,4.0,0.0,0.0,0.0,0,0.50,15540,13806,11664,286,4,37,2,5,1,1
R_6O91F4Zb9YLAWSD,66692488888ba007257afe05,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,50.0,50.0,0.0,1,0.75,22317,7930,49892,297,3,29,1,5,2,0
R_5KTM1Nkcv90g2HS,671a9506b90ee5e2d532c12d,W_correct_weak,Female,Success,weak,51.0,1.0,2.0,10.0,25.0,15.0,1,0.55,20562,6701,9090,850,4,30,1,4,2,1
R_1pc9W0LcstB65kB,5ccedad53734bb001b27a68b,W_correct_weak,Female,Success,weak,48.0,12.0,4.0,50.0,10.0,-40.0,1,0.75,21129,10261,25141,406,4,57,1,5,2,1
R_3w0QcWTJJOI9ABj,62e1ac27961f3e729c0cf5fd,W_incorrect_weak,Female,Failure,weak,49.0,16.0,2.0,0.0,0.0,0.0,0,0.50,77773,6109,7227,512,4,32,2,3,1,0
